<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.02	14:00:00	1998.03900	2004.43300	1994.20300	2004.37300	2191	0	236700
2021.04.02	15:00:00	2004.37300	2007.56000	1990.45700	2002.98500	2445	0	199700
2021.04.02	16:00:00	2002.98500	2005.38200	1984.79300	2005.32200	2654	0	199000
2021.04.02	17:00:00	2005.38200	2072.89500	2002.35500	2068.51900	3237	0	51200
2021.04.02	18:00:00	2068.51900	2080.71700	2053.17400	2071.34600	2986	0	6300
2021.04.02	19:00:00	2071.51600	2079.86800	2043.56400	2055.81200	2898	0	204700
2021.04.02	20:00:00	2056.66100	2058.58900	2041.94600	2052.71500	2694	0	204500
2021.04.02	21:00:00	2052.69500	2060.15700	2044.40300	2052.80500	2361	0	234300
2021.04.02	22:00:00	2052.75500	2068.35900	2029.23800	2060.08700	2926	0	203700
2021.04.02	23:00:00	2060.09700	2103.62400	2059.02800	2088.90900	3182	0	207100
2021.04.05	00:00:00	2058.32900	2076.24100	2055.52200	2074.87300	2422	0	206400
2021.04.05	01:00:00	2074.72300	2074.78300	2054.31300	2068.69900	2653	0	205700
2021.04.05	02:00:00	2068.65900	2078.99800	2068.09900	2073.51400	2369	0	207200
2021.04.05	03:00:00	2073.61400	2082.90500	2052.07500	2054.19300	2756	0	206300
2021.04.05	04:00:00	2054.19300	2060.43700	2048.18900	2054.78300	2295	0	205500
2021.04.05	05:00:00	2054.83300	2054.98200	2037.21000	2041.62600	2619	0	204200
2021.04.05	06:00:00	2041.62600	2047.13000	2020.54700	2026.62100	2686	0	212500
2021.04.05	07:00:00	2025.85200	2035.95200	2017.99900	2020.24700	2727	0	227900
2021.04.05	08:00:00	2020.24700	2028.74900	2006.09100	2009.52800	2702	0	211600
2021.04.05	09:00:00	2009.21800	2022.24100	2001.85600	2009.66800	2296	0	200500
2021.04.05	10:00:00	2009.66800	2028.26900	2005.67700	2024.63500	1578	0	364000
2021.04.05	11:00:00	2024.63500	2027.33000	2007.67300	2023.93700	1908	0	319600
2021.04.05	12:00:00	2023.93700	2039.80200	2015.75500	2039.40300	1187	0	423900
2021.04.05	13:00:00	2039.40300	2044.55300	2029.26800	2044.25300	762	0	296200
2021.04.05	14:00:00	2044.25300	2051.77600	2039.40300	2051.77600	897	0	317200
2021.04.05	15:00:00	2051.77600	2062.75100	2048.78200	2057.56300	1134	0	396000
2021.04.05	16:00:00	2057.56300	2078.11800	2051.24600	2076.92000	2271	0	317400
2021.04.05	17:00:00	2077.02000	2123.35500	2077.02000	2116.28100	5359	0	208400
2021.04.05	18:00:00	2116.28100	2120.47700	2102.19500	2113.91300	4219	0	210500
2021.04.05	19:00:00	2113.91300	2122.55600	2098.99800	2108.76600	1903	0	210400
2021.04.05	20:00:00	2108.76600	2113.71200	2087.08200	2105.31900	4053	0	208900
2021.04.05	21:00:00	2105.31900	2108.91600	2092.00500	2097.10000	3410	0	209700
2021.04.05	22:00:00	2097.10000	2107.59000	2096.52600	2102.69500	2377	0	209800
2021.04.05	23:00:00	2102.39500	2129.26800	2097.99900	2103.49400	3262	0	210400
2021.04.06	00:00:00	2103.49400	2118.06000	2103.49400	2108.28900	1529	0	210600
2021.04.06	01:00:00	2108.71600	2123.07400	2106.49100	2112.38500	2925	0	210800
2021.04.06	02:00:00	2112.38500	2112.38500	2081.81600	2105.29200	3492	0	208500
2021.04.06	03:00:00	2105.29200	2140.55700	2104.49300	2138.65900	2710	0	287000
2021.04.06	04:00:00	2138.65900	2149.04800	2115.33600	2119.27800	1880	0	214600
2021.04.06	05:00:00	2118.27900	2130.50200	2103.79400	2124.41500	1794	0	384900
2021.04.06	06:00:00	2124.41500	2131.10100	2109.14900	2109.94700	1566	0	273400
2021.04.06	07:00:00	2109.94700	2120.92300	2109.94700	2118.52800	1334	0	251400
2021.04.06	08:00:00	2118.52800	2131.00100	2117.73000	2126.11200	1170	0	244100
2021.04.06	09:00:00	2126.11200	2129.00500	2116.43300	2126.61100	1233	0	384500
2021.04.06	10:00:00	2126.61100	2126.61100	2086.39900	2094.10300	2366	0	342200
2021.04.06	11:00:00	2095.28000	2109.64800	2081.51000	2081.51000	2979	0	209300
2021.04.06	12:00:00	2081.51600	2112.18500	2080.01300	2111.14500	1361	0	386400
2021.04.06	13:00:00	2111.14500	2125.57200	2097.50000	2097.50000	2503	0	327700
2021.04.06	14:00:00	2097.50000	2114.18300	2096.50100	2110.48700	1770	0	346700
2021.04.06	15:00:00	2110.48700	2124.87300	2106.19100	2106.49100	2937	0	210900
2021.04.06	16:00:00	2106.49100	2115.86100	2094.60300	2100.69700	2109	0	210500
2021.04.06	17:00:00	2100.69700	2100.69700	2042.25500	2076.82100	2343	0	204700
2021.04.06	18:00:00	2076.82100	2086.41100	2063.43400	2081.51600	1640	0	250900
2021.04.06	19:00:00	2081.51600	2105.75700	2071.53200	2099.57000	3424	0	322900
2021.04.06	20:00:00	2099.57000	2123.91700	2094.28200	2122.22000	2621	0	352300
2021.04.06	21:00:00	2122.22000	2124.71500	2104.95800	2118.82800	2600	0	362900
